day,fhtindx1,fhtindx2,hhno,jtindex,parent,pdpurp,phtindx1,phtindx2,pno,subtrs,tardest,tarorig,tautocost,tautodist,tautotime,tdadtyp,tdpcl,tdtaz,tlvdest,tlvorig,tmodetp,toadtyp,toexpfac,topcl,totaz,tour,tpathtp,tripsh1,tripsh2
1,0,0,2456,0,0,1,0,0,1,0,810,1510,0.0,1.72,8.61,2,956536,2599,1505,801,3,1,151.48,981200,2616,1,0,1,1
1,0,0,2456,0,0,8,0,0,2,0,1920,2120,0.0,3.81,17.01,4,1133498,2628,2100,1900,3,1,151.48,981200,2616,1,0,1,1
1,0,0,2456,0,0,4,0,0,3,0,1250,1420,0.0,3.65,16.81,4,1132724,2587,1400,1230,3,1,151.48,981200,2616,1,0,1,1
1,0,0,2456,0,0,7,0,0,3,0,1910,2340,0.0,2.76,13.33,4,1004217,2653,2330,1900,3,1,151.48,981200,2616,2,0,1,1
1,0,0,2456,0,0,4,0,0,4,0,1020,1230,0.0,6.63,27.38,4,8670,1837,1130,1000,3,1,151.48,981200,2616,1,0,1,3
1,0,0,2456,0,0,8,0,0,4,0,1830,2120,0.0,3.81,17.01,4,1133498,2628,2100,1815,3,1,151.48,981200,2616,2,0,1,1
2,0,0,2456,0,0,1,0,0,1,0,825,1625,0.0,1.72,8.61,2,956536,2599,1615,815,3,1,151.48,981200,2616,1,0,1,1
2,0,0,2456,0,0,3,0,0,3,0,1940,2215,0.0,2.76,13.33,4,1004217,2653,1955,1930,5,1,151.48,981200,2616,1,0,1,2
2,0,0,2456,0,0,7,0,0,3,0,1045,1625,0.0,3.62,15.36,4,1003573,2625,1400,1030,3,1,151.48,981200,2616,2,0,1,5
2,0,0,2457,0,0,7,0,0,2,0,1020,1220,0.0,9.17,26.51,4,96323,1552,1205,800,3,1,105.5,364411,416,1,0,5,1
1,0,0,2482,0,0,9,0,0,2,0,1000,1630,0.0,12.83,33.28,4,637336,3667,1600,915,3,1,40.12,578551,3605,1,0,2,1
2,0,0,2482,0,0,5,0,0,2,0,1105,1110,0.0,0.46,3.84,4,650460,3605,1106,1100,3,1,40.12,578551,3605,1,0,1,1
1,0,0,2495,0,0,8,0,0,1,0,700,815,0.0,3.06,11.84,4,558846,174,800,650,3,1,48.24,279907,357,1,0,1,1
1,0,0,2495,0,0,1,0,0,2,0,1640,2000,0.0,2.81,15.54,2,40966,450,1945,1630,3,1,48.24,279907,357,1,0,1,1
2,0,0,2495,0,0,7,0,0,1,0,1115,1600,0.0,9.64,24.55,4,461516,745,1315,1100,3,1,48.24,279907,357,1,0,1,2
2,0,0,2495,0,0,1,0,0,2,0,905,2100,0.0,2.81,15.54,2,40966,450,1800,850,3,1,48.24,279907,357,1,0,1,2
