day,fhtindx1,fhtindx2,hhno,id,jtindex,parent,pdpurp,person_day_id,person_id,phtindx1,phtindx2,pno,subtrs,tardest,tarorig,tautocost,tautodist,tautotime,tdadtyp,tdpcl,tdtaz,tlvdest,tlvorig,tmodetp,toadtyp,toexpfac,topcl,totaz,tour,tpathtp,tripsh1,tripsh2
1,0,0,14101410,6264,0,0,2,4732,4732,0,0,5,0,555,705,0.173533358586,0.867666792929,4.55727792174,3,1009096,1572,700,540,5,1,308.505625,1009217,1524,1,1,4,2
1,0,0,14101409,6256,0,0,1,4726,4726,0,0,1,0,415,1130,2.326,11.63,22.6,2,759036,1669,1005,400,3,1,280.101574292,1153460,1518,1,1,2,4
1,0,0,14101409,6257,0,0,1,4727,4727,0,0,2,0,410,1230,2.067,10.335,19.625,2,690557,1601,1170,390,3,1,253.779498287,1153460,1518,1,1,2,4
1,0,0,14101408,6251,0,0,3,4723,4723,0,0,1,0,565,615,1.116,5.58,18.235,4,1223568,282,590,540,4,1,42.0057621441,1160843,19,1,1,2,2
1,0,0,14101408,6252,0,0,3,4723,4723,0,0,1,0,965,1110,1.116,5.58,18.52,4,1223568,16,1080,840,5,1,42.0057621441,1160843,19,2,1,4,2
1,0,0,14101408,6253,0,0,4,4723,4723,0,0,1,0,1150,1310,1.035,5.175,17.81,4,1225739,289,1290,1125,3,1,42.0057621441,1160843,19,3,1,2,2
1,0,0,14101408,6254,0,0,1,4724,4724,0,0,2,0,475,1110,1.86,9.3,27.33,2,1078354,566,1020,435,6,1,47.1062748569,1160843,19,1,3,2,4
1,0,0,14101408,6255,0,0,2,4725,4725,0,0,3,0,565,1110,1.071,5.355,17.87,3,1223567,282,1080,540,5,1,45.009625,1160843,19,1,1,2,2
1,0,0,14101407,6247,0,0,1,4721,4721,0,0,1,2,385,1260,0.584312525253,2.92156262626,16.1636452833,2,797163,302,1115,365,6,1,78.4401391416,1209433,100,1,3,2,6
1,0,0,14101407,6248,0,1,7,4721,4721,0,0,1,0,420,520,0.216101641414,1.08050820707,15.1318127608,4,1496,301,510,410,1,2,78.4401391416,797163,302,2,1,2,2
1,0,0,14101407,6249,0,1,7,4721,4721,0,0,1,0,845,880,0.0,0.0,0.0,4,797163,302,875,840,1,2,78.4401391416,797163,302,3,1,2,2
1,0,0,14101407,6250,0,0,1,4722,4722,0,0,2,0,440,1260,0.584312525253,2.92156262626,16.48381653,2,797163,302,1115,420,6,1,79.4321098019,1209433,100,1,3,2,6
1,0,0,14101406,6245,0,0,5,4720,4720,0,0,1,0,570,660,0.605,3.025,13.5,4,1242282,90,620,545,2,1,206.072406645,1268911,184,2,1,2,2
1,0,0,14101406,6246,0,0,5,4720,4720,0,0,1,0,765,825,0.0908310606061,0.45415530303,4.85073789702,4,1242088,218,810,750,1,1,206.072406645,1268911,184,3,1,2,2
