,pollutant_name,veh_type,total_daily_tons,vmt,city
47,PM25 Exhaust,medium,0.001112463,15470.58742,Burien
48,PM25 Tirewear,heavy,0,2956.174177,Burien
49,PM25 Tirewear,light,0,452291.5104,Burien
50,PM25 Tirewear,medium,0,15470.58742,Burien
51,PM25 Total,heavy,0.001121121,8868.522531,Burien
52,PM25 Total,light,0.008779436,1356874.531,Burien
53,PM25 Total,medium,0.001247408,46411.76226,Burien
54,Sulfate Particulate,heavy,4.10E-05,2956.174177,Burien
55,Sulfate Particulate,light,0.000114851,452291.5104,Burien
56,Sulfate Particulate,medium,4.19E-05,15470.58742,Burien
57,Total Energy,heavy,85577.57051,2956.174177,Burien
58,Total Energy,light,2930678.181,452291.5104,Burien
59,Total Energy,medium,188625.9393,15470.58742,Burien
60,Total Gaseous HCs,heavy,0.001790906,2956.174177,Burien
61,Total Gaseous HCs,light,0.196722446,452291.5104,Burien
62,Total Gaseous HCs,medium,0.037804025,15470.58742,Burien
63,VOCs,heavy,0.00145116,2956.174177,Burien
64,VOCs,light,0.127045797,452291.5104,Burien
65,VOCs,medium,0.022371159,15470.58742,Burien
0,Atmospheric CO2,heavy,1.990411957,826.1722116,Carnation
1,Atmospheric CO2,light,6.597910086,11876.28461,Carnation
2,Atmospheric CO2,medium,0.470666794,375.067307,Carnation
3,CO,heavy,0.003722585,826.1722116,Carnation
4,CO,light,0.12054399,11876.28461,Carnation
5,CO,medium,0.019411584,375.067307,Carnation
6,CO2 Equivalent,heavy,1.994302514,826.1722116,Carnation
